Keywords,Frequency
window,304
ends,304
comment,304
santa,303
income,303
sink,303
adults,302
hadn,302
desire,302
blue,301
jail,301
continue,301
played,301
eats,301
babysitter,300
cover,300
texting,300
convinced,300
bastard,299
difference,299
cards,298
crack,298
headache,297
aunt,296
foot,296
mentally,296
blessed,296
seat,295
lets,295
praying,295
um,295
lame,295
chips,295
nope,294
dislike,294
infection,294
joke,293
childhood,293
section,293
desperately,293
checking,293
ear,293
responsible,292
names,292
pic,292
dss,291
labor,291
relieved,291
texts,290
puts,290
places,289
fixed,289
sugar,289
sexually,289
blah,289
panic,289
mb,288
lord,288
involved,288
olds,287
accept,287
failed,287
surprised,287
extremely,286
sort,286
difficult,285
checked,285
app,284
tough,284
lock,283
interest,283
ride,283
grey,282
awkward,281
overwhelmed,280
washing,280
fired,280
vodka,280
therapist,280
joy,279
soo,279
caring,279
contact,279
saved,279
snarky,278
families,278
embarrassing,278
addict,277
earlier,277
ton,276
awhile,275
bet,275
taught,275
puke,275
closet,275
train,274
washed,274
area,274
fiance,274
spot,273
orgasms,273
showed,273
mail,273
wild,273
struggle,272
desk,272
rip,272
eaten,271
neck,270
finds,270
lmao,269
common,269
quick,269
judging,268
surprise,268
fresh,268
annoys,268
arm,268
asshat,267
cats,267
shift,267
smoked,267
partner,266
target,266
runs,265
upstairs,265
shaved,265
boob,265
sell,264
nurse,264
confused,264
calm,264
beginning,264
cereal,263
sd,263
pos,263
truck,263
chest,263
suddenly,263
buddy,262
figured,262
space,262
seconds,262
whine,262
fridge,262
grew,261
filled,261
questions,261
million,261
tub,261
offer,261
steal,261
teaching,261
em,260
bothered,260
farts,260
tummy,259
trashy,259
dies,259
hotel,259
cunt,259
natural,258
choices,258
officially,257
slut,257
watches,256
sore,256
ignoring,256
christian,255
physical,255
psycho,255
military,254
liar,254
pussy,254
friendship,254
plays,254
closer,254
illness,253
gain,253
sake,253
hitting,253
multiple,253
cries,252
crib,252
schedule,252
maid,252
housework,251
showing,251
financial,251
tantrum,251
ball,251
large,251
suffer,251
disgusted,250
trapped,250
insecure,250
apartment,250
anti,250
offered,250
paranoid,250
pooped,249
mum,249
exh,248
rub,248
shades,248
prick,248
butter,248
chores,248
counting,247
incredibly,247
issue,247
tax,247
dads,246
term,246
slow,246
giant,246
brats,245
tons,245
pushing,245
wk,245
desperate,245
wives,244
deleted,244
btw,244
creepy,244
pig,244
locked,243
bottom,243
coke,243
leg,243
kissed,242
decisions,242
promise,242
style,242
hating,242
chair,241
cost,241
current,241
babysit,241
tempted,240
niece,240
monster,240
silly,240
laptop,240
wasted,239
kicking,239
flu,239
bug,239
damned,239
blowing,239
calories,239
meals,239
despise,239
napping,239
cutting,239
covered,239
cock,238
dhs,238
appointment,238
simple,238
expecting,238
hopes,238
bringing,237
dread,237
remind,237
bags,237
neighborhood,237
moron,236
sheets,236
cramps,236
pays,236
xanax,236
welfare,236
flip,235
standing,235
pink,235
rules,235
heavy,235
heat,235
shape,234
crawl,234
interview,234
mini,234
tooth,234
asses,234
ungrateful,233
isnt,233
twitter,233
teenagers,233
garbage,233
response,233
preggo,232
assume,232
starving,232
slowly,232
kissing,232
cough,232
dump,232
autism,231
cash,231
lo,231
nerves,231
oral,231
load,231
messy,231
naps,231
puppy,230
team,230
parties,230
sober,230
sports,230
complains,230
fam,230
sooooo,229
messed,229
joint,229
wonders,229
stole,229
abt,229
knock,228
urge,228
treating,228
perfectly,228
nephew,228
workout,228
stays,227
dishwasher,227
level,227
stretch,227
closed,227
socks,226
er,226
appt,226
cars,226
held,226
waited,226
parking,226
shoot,225
boards,225
formula,225
pieces,225
google,225
falls,224
private,224
sneak,224
simply,224
spends,224
painful,223
marks,223
comfortable,223
warm,223
manage,223
someday,223
walks,223
animals,223
survive,222
cum,222
judged,222
judgmental,222
opinion,222
wouldnt,221
wrote,221
weather,221
system,221
fever,221
miscarriage,221
diagnosed,220
dsd,220
fruit,220
basically,220
abused,219
heartbroken,219
breathe,219
romantic,219
prefer,219
snap,219
excuses,218
treatment,218
actual,218
sucking,218
vag,218
bitter,218
bread,218
expected,217
brings,217
flowers,217
glasses,216
religious,216
pulling,216
freaked,216
shame,216
celebrate,216
noise,216
esteem,216
ending,216
vent,216
reach,216
disappear,215
temper,215
city,215
vomit,215
stories,215
stamps,215
naughty,215
ears,214
invite,214
cooked,214
soda,214
dollars,214
touching,214
supportive,214
jackass,213
boo,213
force,213
interesting,212
chick,212
animal,212
molested,212
immediately,212
court,212
uncomfortable,212
ipad,212
silence,211
pissing,211
poo,211
confessed,211
cranky,211
failing,211
club,211
heaven,211
clear,211
dreading,210
beach,210
brains,209
worrying,209
learning,209
shits,209
farted,208
pushed,208
juice,208
shake,208
note,208
texted,208
relationships,208
writing,208
ordered,207
disease,207
strangers,207
opened,207
tampon,207
diarrhea,207
promised,207
tongue,207
responsibility,207
obnoxious,207
passion,206
doubt,206
sanity,206
signed,206
easily,206
fantasy,205
sits,205
brothers,205
strange,205
siblings,205
engaged,204
discovered,204
color,204
doctors,204
quickly,204
saving,203
relief,203
ft,203
agreed,203
weak,203
workers,203
forced,203
pillow,202
flat,202
cookie,202
fu,202
pleasure,202
cigarette,202
singing,202
bothers,201
stink,201
bleeding,201
option,201
green,200
coworkers,200
ss,200
grab,200
season,200
showered,200
skills,200
possibly,199
strength,199
burn,199
begging,199
website,199
corner,199
wished,199
controlling,198
teachers,198
escape,198
queen,198
spell,198
kills,198
position,198
prob,198
knocked,197
damnit,197
bro,197
cuddle,197
sitter,197
band,197
garage,197
service,196
split,196
supper,196
wasnt,196
sun,196
smh,196
ttc,196
eventually,196
screams,195
vacuum,195
trained,195
faking,194
idiots,194
focus,194
shove,194
downstairs,194
patient,194
staring,193
gun,193
kisses,193
nite,193
separated,193
disney,193
huh,193
stranger,193
tied,193
visiting,193
comfort,193
clock,192
lovely,192
police,192
local,192
enjoyed,192
stops,192
basement,192
sharing,192
exist,191
twin,191
masturbating,191
fathers,191
dearly,190
shocked,190
pissy,190
breakdown,190
carry,190
pet,190
convince,190
grandparents,190
chat,189
stinky,189
guts,189
dumped,189
mr,189
depressing,189
rocks,189
medication,189
pity,189
trade,189
pooping,189
reminds,189
snack,188
usual,188
tantrums,188
peeing,188
freedom,188
couldnt,188
wore,188
begin,188
hormones,187
function,187
magic,187
anxious,187
lap,187
crotch,186
raped,186
yoga,186
bugs,186
teens,186
argument,186
sadly,186
drove,186
brand,186
midnight,186
devastated,186
blog,186
maternity,185
anytime,185
star,185
hurry,185
peanut,185
cigarettes,185
purse,185
wreck,185
suppose,185
homeless,184
brag,184
lesson,184
considered,184
fucks,184
caused,183
fantastic,183
basis,183
marrying,183
moments,183
personality,183
hung,183
smarter,183
nipples,183
join,182
uh,182
pets,182
charge,182
pg,181
omfg,181
autistic,180
taxes,180
passive,180
eff,180
fianc,180
plenty,180
professional,180
